"slug","text","min_rating","axis_slugs","theme","status","notes"
"first-date-chemistry-test","The clearest sign there is real chemistry on a first date","30","playful-vs-serious|high-context-vs-low-context|comfort-vs-challenge|risk-low-vs-risk-high|classic-vs-experimental","","ready",""
"flirting-style-that-lands","The flirting style most likely to land well","30","playful-vs-serious|high-context-vs-low-context|comfort-vs-challenge|consensus-vs-contrarian|risk-low-vs-risk-high","","ready",""
"relationship-boundary-talk","The best way to start a relationship boundary conversation","30","high-context-vs-low-context|comfort-vs-challenge|personal-vs-team|depth-vs-speed|risk-low-vs-risk-high","","ready",""
"jealousy-in-friend-group","The best way to handle jealousy inside a friend group","30","personal-vs-team|high-context-vs-low-context|comfort-vs-challenge|consensus-vs-contrarian|stability-vs-change","","ready",""
"conversation-turnoff","The biggest conversation turnoff on a date","30","playful-vs-serious|high-context-vs-low-context|risk-low-vs-risk-high|comfort-vs-challenge|depth-vs-speed","","ready",""
"money-transparency-in-dating","The right level of money transparency early in dating","30","high-context-vs-low-context|comfort-vs-challenge|risk-low-vs-risk-high|practical-vs-aspirational|shortterm-vs-longterm","","ready",""
"ex-story-first-date","When talking about an ex on a first date is fine","30","risk-low-vs-risk-high|comfort-vs-challenge|high-context-vs-low-context|depth-vs-speed|playful-vs-serious","","ready",""
"commitment-signal-that-matters","The strongest signal someone is serious about a relationship","30","visibility-vs-focus|shortterm-vs-longterm|playful-vs-serious|personal-vs-team|stability-vs-change","","ready",""
"romantic-gesture-worth-it","A bold romantic gesture that is actually worth doing","30","risk-low-vs-risk-high|budget-vs-premium|classic-vs-experimental|playful-vs-serious|comfort-vs-challenge","","ready",""
"honest-feedback-in-relationship","The best way to give honest feedback in a relationship","30","comfort-vs-challenge|high-context-vs-low-context|personal-vs-team|depth-vs-speed|consensus-vs-contrarian","","ready",""
"friend-hookup-drama-response","The best way to handle friend group drama after two friends hook up","30","personal-vs-team|consensus-vs-contrarian|high-context-vs-low-context|stability-vs-change|comfort-vs-challenge","","ready",""
"text-back-timing","How much text-back timing actually matters in dating","30","playful-vs-serious|risk-low-vs-risk-high|high-context-vs-low-context|visibility-vs-focus|comfort-vs-challenge","","ready",""
"green-flag-underrated","The most underrated green flag in a partner","30","practical-vs-aspirational|playful-vs-serious|personal-vs-team|visibility-vs-focus|shortterm-vs-longterm","","ready",""
"breakup-closure-approach","The best approach to breakup closure","30","high-context-vs-low-context|comfort-vs-challenge|stability-vs-change|depth-vs-speed|risk-low-vs-risk-high","","ready",""
"party-flirtation-etiquette","The best etiquette for flirting at a party where everyone knows each other","30","playful-vs-serious|high-context-vs-low-context|personal-vs-team|risk-low-vs-risk-high|comfort-vs-challenge","","ready",""
