"slug","text","min_rating","axis_slugs","theme","status","notes"
"post-launch-celebration","A perfect celebration after shipping a major release","10","budget-vs-premium|playful-vs-serious|personal-vs-team|practical-vs-aspirational|classic-vs-experimental","","ready",""
"focus-reset-break","The best 15-minute reset during a high-stress day","10","budget-vs-premium|playful-vs-serious|visibility-vs-focus|comfort-vs-challenge|classic-vs-experimental","","ready",""
"recognition-that-motivates","Recognition that motivates people the most","10","personal-vs-team|playful-vs-serious|visibility-vs-focus|individual-vs-collective|practical-vs-aspirational","","ready",""
"best-team-offsite-shape","The best shape for a team offsite","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|personal-vs-team|classic-vs-experimental","","ready",""
"note-taking-default","The best default for shared meeting notes","10","async-vs-live|high-context-vs-low-context|visibility-vs-focus|depth-vs-speed|stability-vs-change","","ready",""
"best-demo-format","The best format for a product demo","10","playful-vs-serious|high-context-vs-low-context|visibility-vs-focus|depth-vs-speed|classic-vs-experimental","","ready",""
"office-social-event","The best low-awkwardness office social event","10","budget-vs-premium|playful-vs-serious|personal-vs-team|comfort-vs-challenge|classic-vs-experimental","","ready",""
"best-remote-collab-window","The best time window for remote collaboration","10","async-vs-live|structured-vs-flexible|personal-vs-team|visibility-vs-focus|depth-vs-speed","","ready",""
"teammate-appreciation-ritual","A teammate appreciation ritual that actually works","10","playful-vs-serious|personal-vs-team|visibility-vs-focus|classic-vs-experimental|comfort-vs-challenge","","ready",""
"best-way-to-end-week","The best way for a team to end the week","10","playful-vs-serious|visibility-vs-focus|personal-vs-team|budget-vs-premium|comfort-vs-challenge","","ready",""
"best-team-lunch-format","The best format for a team lunch","10","budget-vs-premium|playful-vs-serious|personal-vs-team|structured-vs-flexible|classic-vs-experimental","","ready",""
"best-way-to-share-wins","The best way to share team wins without cringe","10","playful-vs-serious|personal-vs-team|visibility-vs-focus|budget-vs-premium|classic-vs-experimental","","ready",""
"weekend-breakfast-spread","The best kind of breakfast spread for a mixed group","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"rainy-day-group-plan","The best rainy-day activity for a mixed group","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"roadtrip-snack-draft","The ideal strategy for building a road trip snack lineup","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"family-game-night-rule","The one rule that makes family game night better","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"movie-marathon-setup","The best setup for a movie marathon that people actually enjoy","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"neighborhood-walk-detour","The best kind of detour to add to a neighborhood walk","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"birthday-party-theme","The best birthday party theme for adults who do not want a kiddie vibe","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"picnic-spot-choice","What makes a picnic spot actually worth the effort","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"vacation-souvenir-style","The best kind of souvenir to bring back from a trip","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"playlist-for-long-drive","The best playlist strategy for a long drive with friends","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"sunday-reset-routine","The best Sunday reset routine before a busy week","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
"best-potluck-contribution","The best thing to bring to a potluck if you want people to remember it","10","budget-vs-premium|playful-vs-serious|structured-vs-flexible|classic-vs-experimental|async-vs-live","","ready",""
